
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 211 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

211 species included in the data set
51 species have a single occurrence, 9 species are extant
2946 fossil occurrences (1 replicates), ranging from 50.83 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Aelurodon	15.686	8.219	
Aelurodon_asthenostylus	19.503	13.701	
Aelurodon_ferox	20.982	6.094	
Aelurodon_mcgrewi	21.89	13.721	
Aelurodon_montanensis	13.761	13.761	
Aelurodon_stirtoni	22.196	10.863	
Aelurodon_taxoides	18.442	5.106	
Aelurodon_wheelerianus	17.34	17.34	
Alopex	3.664	3.664	
Alopex_lagopus	1.018	0.004	
Archaeocyon_falkenbachi	22.607	22.607	
Archaeocyon_leptodus	33.218	21.383	
Archaeocyon_pavidus	32.619	27.399	
Borophaginae	24.0	6.213	
Borophagus	10.132	1.834	
Borophagus_diversidens	4.676	1.933	
Borophagus_dudleyi	4.563	4.563	
Borophagus_hilli	14.79	1.879	
Borophagus_littoralis	20.368	11.501	
Borophagus_orc	8.579	3.753	
Borophagus_parvus	7.882	5.221	
Borophagus_pugnator	21.696	4.932	
Borophagus_secundus	21.101	5.096	
Caedocyon_tedfordi	27.067	27.067	
Canidae	36.603	0.028	
Caninae	25.475	0.08	
Canini	7.679	1.967	
Canis	21.209	0.003	
Canis_(Pseudalopex)	1.062	0.047	
Canis_adustus	3.193	0.005	extant
Canis_anthus	1.739	1.161	extant
Canis_apolloniensis	2.283	2.283	
Canis_armbrusteri	2.515	0.035	
Canis_aureus	2.852	0.002	extant
Canis_cedazoensis	0.369	0.369	
Canis_dirus	2.38	0.012	
Canis_edwardii	6.938	0.332	
Canis_familiaris	1.415	0.003	extant
Canis_ferox	9.555	1.891	
Canis_latrans	4.5	0.001	extant
